Northing,Easting,Elevation(m)
5934175.1,333007.8,622.1
5934190.4,333009.0,620.6
5934198.2,333007.7,619.8
5934223.3,333000.2,618.6
5934226.1,332993.6,618.6
5934229.3,332973.4,619.0
5934235.2,332946.7,619.9
5934246.0,332923.8,619.7
5934266.2,332886.8,619.4
5934304.1,332817.8,618.4
5934336.9,332758.2,616.9
5934368.6,332684.1,616.9
5934390.3,332620.5,617.3
5934396.8,332583.8,617.6
5934404.5,332550.5,617.5
5934417.4,332515.1,617.8
5934428.7,332491.2,617.6
5934441.0,332477.7,617.5
5934449.4,332461.7,617.4
5934456.5,332447.9,617.2
5934468.2,332415.6,616.8
5934477.6,332373.8,617.6
5934479.1,332368.0,617.7
5934489.9,332324.9,617.8
5934493.9,332287.5,619.0
5934495.4,332244.3,621.7
5934453.3,332311.4,622.8
5934282.6,332779.4,622.0
5934302.8,332891.3,617.1
5934328.2,332895.9,616.0
5934207.1,332960.8,621.7
5934225.9,332964.0,619.8
5934179.9,332980.3,623.5
5934177.2,332990.7,623.0
5934176.4,333000.0,622.4
5934179.4,333036.1,620.7
5934158.0,333026.1,623.2
5934172.9,333004.3,622.5
5934176.3,332996.5,622.7
5934729.0,331931.3,619.0
5934827.9,331957.8,616.0
5934860.5,332015.5,617.4
5934843.2,332108.2,620.1
5934834.1,332141.2,620.7
5934839.3,332159.8,622.0
5934840.3,332173.2,622.5
5934835.8,332153.6,621.5
5934836.5,332140.0,620.7
5934834.0,332069.6,618.4
5934759.4,332004.1,617.1
5934753.9,332000.6,617.0
5934744.1,331997.2,617.0
5934649.0,331980.0,621.2
5934628.8,332004.5,621.9
5934631.6,332009.8,621.5
5934762.2,332124.7,617.4
5934808.8,332183.4,621.4
5934821.4,332191.3,622.1
5934825.0,332202.2,622.7
5934829.0,332208.3,623.2
5934803.6,332188.3,621.3
5934738.3,332121.3,616.5
5934663.6,332068.0,617.6
5934659.6,332064.5,617.9
5934601.5,332036.3,623.0
5934633.5,332061.3,619.5
5934748.7,332147.7,617.6
5934785.7,332182.7,620.4
5934788.3,332205.0,621.2
5934805.6,332227.5,623.0
5934780.7,332249.0,622.4
5934782.7,332243.0,622.4
